Traceback (most recent call last):
  File "<frozen runpy>", line 198, in _run_module_as_main
  File "<frozen runpy>", line 88, in _run_code
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/http/server.py", line 1329, in <module>
    test(
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/http/server.py", line 1276, in test
    with ServerClass(addr, HandlerClass) as httpd:
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/socketserver.py", line 457, in __init__
    self.server_bind()
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/http/server.py", line 1323, in server_bind
    return super().server_bind()
           ^^^^^^^^^^^^^^^^^^^^^
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/http/server.py", line 140, in server_bind
    socketserver.TCPServer.server_bind(self)
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/socketserver.py", line 478, in server_bind
    self.socket.bind(self.server_address)
OSError: [Errno 98] Address already in use
127.0.0.1 - - [06/Aug/2026 15:43:48] "GET /src/services/SoundService.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:43:48] "GET /src/onboarding/OnboardingFlow.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:43:48] "GET /src/services/SupabaseClient.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:43:48] "GET /src/icons/symbols.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:45:04] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:45:04] "GET /assets/images/lovehub-icon.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:45:04] "GET /src/main.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:45:04] "GET /chat-rich.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:45:04] "GET /chat-rich-fixes.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:45:04] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:45:04] "GET /assets/images/sector-logo.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 15:45:04] "GET /icons.js HTTP/1.1" 200 -
